jams	 blo_h	 adv_h	 diff

Jam-1	 626	 243	 383
Jam-2	 542	 164	 378
Jam-3	 456	 375	 81
Jam-4	 116	 39	 77
Jam-5	 660	 137	 523
Jam-6	 584	 368	 216
Jam-7	 1959	 1742	 217
Jam-8	 796	 331	 465
Jam-9	 348	 233	 115
Jam-10	 1491	 1337	 154
Jam-11	 669	 562	 107
Jam-12	 591	 491	 100
Jam-13	 3669	 2436	 1233
Jam-14	 3716	 2870	 846
Jam-15	 521	 517	 4
Jam-16	 1849	 1714	 135
Jam-17	 1821	 1278	 543
Jam-18	 1325	 874	 451
Jam-19	 463	 448	 15
Jam-20	 394	 137	 257
Jam-21	 241	 197	 44
Jam-22	 2568	 1741	 827
Jam-23	 1398	 1041	 357
Jam-24	 4023	 3874	 149
Jam-25	 6564	 5557	 1007
Jam-26	 3897	 3676	 221
Jam-27	 2282	 2049	 233
Jam-28	 1250	 639	 611
Jam-29	 4231	 4004	 227
Jam-30	 1049	 939	 110
Jam-31	 3637	 3470	 167
Jam-32	 507	 474	 33
Jam-33	 2557	 1917	 640
Jam-34	 4125	 3824	 301
Jam-35	 3804	 3762	 42
Jam-36	 2047	 1810	 237
Jam-37	 1856	 1580	 276
Jam-38	 3034	 2877	 157
Jam-39	 3512	 3446	 66
Jam-40	 2621	 2143	 478
