jams	 dfs	 pruned	 diff

Jam-1	 545	 544	 1
Jam-2	 346	 53	 293
Jam-3	 387	 258	 129
Jam-4	 294	 147	 147
Jam-5	 878	 269	 609
Jam-6	 206	 141	 65
Jam-7	 287	 220	 67
Jam-8	 85	 85	 0
Jam-9	 258	 91	 167
Jam-10	 415	 380	 35
Jam-11	 330	 160	 170
Jam-12	 443	 443	 0
Jam-13	 436	 407	 29
Jam-14	 2104	 2095	 9
Jam-15	 80	 71	 9
Jam-16	 1686	 1625	 61
Jam-17	 1625	 972	 653
Jam-18	 343	 329	 14
Jam-19	 252	 237	 15
Jam-20	 283	 282	 1
Jam-21	 145	 145	 0
Jam-22	 828	 722	 106
Jam-23	 717	 623	 94
Jam-24	 492	 466	 26
Jam-25	 1059	 1058	 1
Jam-26	 1039	 1038	 1
Jam-27	 905	 726	 179
Jam-28	 777	 753	 24
Jam-29	 425	 425	 0
Jam-30	 621	 287	 334
Jam-31	 1826	 1824	 2
Jam-32	 366	 363	 3
Jam-33	 2579	 2577	 2
Jam-34	 969	 797	 172
Jam-35	 1722	 1721	 1
Jam-36	 776	 591	 185
Jam-37	 519	 518	 1
Jam-38	 2099	 2083	 16
Jam-39	 1156	 1155	 1
Jam-40	 941	 941	 0
