jams	 dfs	 pruned	 diff

Jam-1	 546	 544	 2
Jam-2	 347	 53	 294
Jam-3	 392	 262	 130
Jam-4	 298	 148	 150
Jam-5	 879	 269	 610
Jam-6	 207	 141	 66
Jam-7	 288	 220	 68
Jam-8	 86	 85	 1
Jam-9	 259	 91	 168
Jam-10	 416	 380	 36
Jam-11	 401	 160	 241
Jam-12	 444	 443	 1
Jam-13	 437	 407	 30
Jam-14	 2105	 2095	 10
Jam-15	 84	 74	 10
Jam-16	 1884	 1822	 62
Jam-17	 1913	 1214	 699
Jam-18	 533	 518	 15
Jam-19	 446	 430	 16
Jam-20	 284	 282	 2
Jam-21	 153	 152	 1
Jam-22	 829	 722	 107
Jam-23	 719	 624	 95
Jam-24	 493	 466	 27
Jam-25	 1071	 1069	 2
Jam-26	 1040	 1038	 2
Jam-27	 947	 767	 180
Jam-28	 866	 841	 25
Jam-29	 426	 425	 1
Jam-30	 1053	 385	 668
Jam-31	 3262	 3259	 3
Jam-32	 534	 530	 4
Jam-33	 3774	 3771	 3
Jam-34	 973	 797	 176
Jam-35	 2002	 2000	 2
Jam-36	 788	 602	 186
Jam-37	 520	 518	 2
Jam-38	 2521	 2504	 17
Jam-39	 1174	 1172	 2
Jam-40	 953	 952	 1
